,last_scraped,id,host_id,host_is_superhost,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,occ_rate,monthly_income,multi_listing_host,neighborhood
98607,2021-02-19,45238215,365452664,0,37203.0,36.16751,-86.78229,Apartment,Entire home/apt,6,1.0,3.0,153.0,1.0,365.0,0,0,0,4,75.0,7.0,8.0,10.0,9.0,8.0,7.0,0,5.0,0.09468493150684931,440.64,1,Downtown
98608,2021-02-19,45238408,365452664,0,37203.0,36.16719000000001,-86.78245,Apartment,Entire home/apt,6,1.0,3.0,209.0,1.0,365.0,0,0,0,9,82.0,9.0,9.0,10.0,10.0,10.0,8.0,0,5.0,0.2104109589041096,1337.6000000000001,1,Downtown
98609,2021-02-21,45242131,165008812,0,37214.0,36.22136,-86.70369000000002,Guest suite,Private room,4,1.0,1.0,195.0,2.0,1125.0,30,60,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,1,Donelson
98610,2021-02-20,45258847,179452506,1,37203.0,36.12638,-86.77895,Condominium,Entire home/apt,4,1.0,2.0,87.0,2.0,1125.0,0,12,42,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,6.0,0.11835616438356164,313.2,1,South_Nashville
98611,2021-02-20,45258919,158629193,1,37203.0,36.15901,-86.81582,Townhouse,Entire home/apt,10,2.5,7.0,130.0,30.0,90.0,29,59,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.0,0.0,0.0,1,North_Nashville
98612,2021-02-20,45267238,152463639,0,37207.0,36.19357,-86.76699,Guest suite,Private room,2,1.0,1.0,35.0,2.0,1125.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,East_Nashville
98613,2021-02-20,45285837,30733625,0,37207.0,36.2202,-86.80909,Guest suite,Private room,1,1.0,1.0,30.0,30.0,366.0,0,20,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,1,North_Nashville
98614,2021-02-20,45286398,6675690,1,37207.0,36.18653,-86.75488,Townhouse,Entire home/apt,6,1.0,4.0,100.0,14.0,365.0,0,0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,0.0,0.0,1,East_Nashville
98615,2021-02-20,45286420,6675690,1,37207.0,36.18628,-86.75425,Townhouse,Entire home/apt,6,1.0,2.0,100.0,14.0,365.0,20,20,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,0.0,0.0,1,East_Nashville
98616,2021-02-20,45286425,6675690,1,37207.0,36.18508,-86.75562,Townhouse,Entire home/apt,6,1.0,6.0,100.0,14.0,365.0,29,59,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,0.0,0.0,1,East_Nashville
98617,2021-02-20,45286427,6675690,1,37207.0,36.18493,-86.75571,Townhouse,Entire home/apt,6,1.0,6.0,100.0,14.0,365.0,30,60,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,0.0,0.0,1,East_Nashville
98618,2021-02-20,45286428,6675690,1,37207.0,36.18651,-86.75519,Townhouse,Entire home/apt,6,1.0,4.0,100.0,14.0,365.0,0,17,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,0.0,0.0,1,East_Nashville
98619,2021-02-19,45286430,6675690,1,37207.0,36.18669000000001,-86.75578,Townhouse,Entire home/apt,6,1.0,2.0,300.0,14.0,365.0,11,11,11,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,85.0,0.41424657534246573,3780.0,1,East_Nashville
98620,2021-02-21,45290849,85761471,1,37138.0,36.22482,-86.63004000000002,Guest suite,Private room,4,1.0,1.0,86.0,1.0,1125.0,25,55,85,20,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.0,0.13150684931506848,344.0,0,Donelson
98621,2021-02-20,45316348,310031523,1,37221.0,36.12952,-86.93106999999998,House,Entire home/apt,6,2.0,3.0,85.0,30.0,365.0,7,33,37,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,2.0,0.7,1809.7916666666665,1,Bellevue
98622,2021-02-21,45326126,179811696,1,37203.0,36.14026,-86.79375,Townhouse,Entire home/apt,12,2.5,6.0,457.0,2.0,1125.0,18,37,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,1,South_Nashville
98623,2021-02-20,45326319,16246720,1,37203.0,36.16445,-86.77715,Apartment,Entire home/apt,4,1.0,3.0,110.0,1.0,1125.0,0,0,0,60,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1,15.0,0.7,2342.0833333333335,1,Downtown
