listing_id,available,minimum_nights,maximum_nights
5014393,292,28260.0,56520.0
5039858,315,315.0,2205.0
5042356,79,3150.0,9135.0
5061506,244,871.0,354375.0
5070014,275,630.0,9450.0
5093759,0,630.0,354375.0
5101476,303,1575.0,354375.0
5102074,313,18900.0,18900.0
5171277,31,720.0,354375.0
5174212,271,315.0,354375.0
5209891,203,496.0,351009.0
5212573,216,315.0,9135.0
5217231,146,315.0,354375.0
5261347,182,739.0,354375.0
5317695,87,403.0,114610.0
5329979,275,9450.0,354375.0
5334208,0,588.0,355500.0
5339135,315,9450.0,354375.0
5339138,284,9450.0,354375.0
5352951,117,765.0,354375.0
5396205,316,9480.0,355500.0
5397498,232,630.0,9135.0
5450001,185,630.0,354375.0
5480793,306,630.0,354375.0
5497835,6,630.0,354375.0
5500808,315,630.0,354375.0
5523154,95,28350.0,354375.0
5532667,171,495.0,354060.0
5557887,247,630.0,354375.0
5560170,231,948.0,9480.0
5570561,0,942.0,353250.0
5582584,268,798.0,353250.0
5589151,314,9450.0,14175.0
5590547,111,538.0,353250.0
5591141,58,404.0,354375.0
5593364,274,630.0,354375.0
5605938,302,632.0,355500.0
5612705,0,316.0,355500.0
5622887,149,9765.0,114975.0
5623567,174,9765.0,114975.0
5685029,302,632.0,355500.0
5717222,208,630.0,3780.0
5726670,131,9450.0,472500.0
5756534,179,9765.0,18900.0
5759335,315,407.0,355500.0
5761405,310,315.0,354375.0
5761584,310,315.0,354375.0
5761616,311,452.0,355500.0
5767371,274,800.0,354375.0
5793373,0,945.0,354375.0
5794839,302,1164.0,9135.0
5795538,77,720.0,354375.0
5796020,0,948.0,2528.0
5808960,248,630.0,354375.0
5834344,236,314.0,353250.0
5857984,0,948.0,355500.0
5859347,85,945.0,354375.0
5864046,90,630.0,9765.0
5880314,0,632.0,355500.0
5889177,74,630.0,354375.0
5920152,134,1580.0,355500.0
5930642,84,630.0,2205.0
5933237,299,630.0,4410.0
5964509,245,937.0,354375.0
5970743,269,1007.0,354375.0
5984997,233,315.0,9135.0
5989908,229,9450.0,354375.0
6001003,0,412.0,354375.0
6052703,178,9450.0,354375.0
6053563,313,945.0,354375.0
6053818,87,9450.0,354375.0
6060887,315,630.0,354375.0
6099376,0,768.0,355500.0
6113766,63,630.0,354375.0
6117297,200,9765.0,37800.0
6119843,90,945.0,354375.0
6128035,148,315.0,354375.0
6139494,63,405.0,114975.0
6162409,291,1575.0,354375.0
6193527,314,630.0,354375.0
6198601,0,314.0,353250.0
6207147,200,630.0,354375.0
6210434,174,315.0,354375.0
6213651,229,634.0,354375.0
6223197,160,945.0,9135.0
6227141,88,630.0,354375.0
6227228,127,630.0,354375.0
6235842,133,630.0,354375.0
6237779,186,2205.0,354375.0
6238680,315,9450.0,354375.0
6238833,211,630.0,354375.0
6246236,310,942.0,2512.0
6247676,257,1073.0,354375.0
6249592,90,628.0,2826.0
6256932,0,412.0,354375.0
